	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
426	0.0	0.0	1.0	0.0	0.0	4.0	8.0
427	1.0	1.0	1.0	45.0	165.0	5.0	12.0
428	1.0	1.0	1.0	44.0	86.0	2.0	4.0
429	1.0	1.0	1.0	0.0	0.0	1.0	2.0
430	0.0	0.0	1.0	0.0	0.0	5.0	5.0
431	1.0	1.0	1.0	0.0	0.0	0.0	3.0
432	1.0	1.0	1.0	0.0	0.0	1.0	2.0
433	1.0	1.0	1.0	21.0	48.0	2.0	4.0
434	1.0	1.0	1.0	41.0	150.0	0.0	9.0
435	0.0	0.0	1.0	1.0	9.0	0.0	2.0
436	1.0	1.0	1.0	21.0	48.0	2.0	6.0
437	0.0	0.0	1.0	136.0	2.0	7.0	9.0
438	0.0	0.0	1.0	136.0	2.0	7.0	9.0
439	1.0	1.0	1.0	43.0	38.0	3.0	6.0
440	1.0	1.0	1.0	0.0	0.0	28.0	264.0
441	1.0	1.0	1.0	18.0	200.0	3.0	6.0
442	1.0	1.0	1.0	24.0	101.0	35.0	55.0
443	0.0	0.0	1.0	21.0	98.0	7.0	11.0
444	1.0	1.0	1.0	0.0	0.0	0.0	1.0
445	1.0	1.0	1.0	120.0	87.0	0.0	576.0
446	1.0	1.0	2.0	41.0	181.0	5.0	15.0
447	1.0	1.0	1.0	44.0	86.0	1.0	4.0
448	1.0	1.0	1.0	0.0	0.0	0.0	1.0
449	1.0	1.0	1.0	0.0	0.0	4.0	4.0
450	1.0	1.0	1.0	0.0	0.0	2.0	2.0
451	1.0	1.0	1.0	0.0	0.0	2.0	2.0
452	1.0	1.0	1.0	0.0	0.0	2.0	10.0
453	1.0	1.0	2.0	84.0	316.0	0.0	48.0
454	1.0	1.0	1.0	0.0	0.0	2.0	2.0
