	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
112	1.0	1.0	1.0	5.0	10.0	2.0	2.0
113	1.0	1.0	1.0	21.0	88.0	0.0	32.0
114	0.0	0.0	1.0	0.0	0.0	4.0	4.0
115	1.0	1.0	1.0	47.0	11.0	0.0	10.0
116	0.0	0.0	1.0	43.0	22.0	3.0	36.0
117	1.0	1.0	1.0	6.0	38.0	2.0	2.0
118	0.0	0.0	1.0	7.0	28.0	1.0	1.0
119	0.0	0.0	1.0	0.0	0.0	1.0	2.0
120	1.0	1.0	1.0	7.0	38.0	2.0	8.0
121	1.0	1.0	1.0	22.0	25.0	0.0	6.0
122	0.0	0.0	1.0	0.0	0.0	6.0	6.0
123	0.0	0.0	1.0	0.0	0.0	2.0	28.0
124	0.0	0.0	1.0	0.0	0.0	0.0	6.0
125	1.0	1.0	1.0	11.0	3.0	6.0	6.0
126	0.0	0.0	2.0	0.0	0.0	0.0	12.0
127	1.0	1.0	1.0	22.0	25.0	0.0	2.0
128	0.0	0.0	1.0	6.0	39.0	1.0	1.0
129	0.0	0.0	1.0	0.0	0.0	3.0	4.0
130	0.0	0.0	1.0	0.0	0.0	2.0	12.0
131	0.0	0.0	4.0	0.0	0.0	21.0	30.0
132	0.0	0.0	1.0	0.0	10.0	4.0	12.0
133	1.0	1.0	1.0	0.0	10.0	11.0	36.0
134	1.0	1.0	1.0	35.0	18.0	0.0	1.0
135	1.0	1.0	1.0	16.0	16.0	1.0	1.0
136	0.0	0.0	1.0	0.0	0.0	1.0	4.0
137	0.0	0.0	1.0	63.0	51.0	0.0	19.0
138	1.0	1.0	1.0	16.0	16.0	2.0	2.0
139	1.0	1.0	1.0	35.0	18.0	1.0	1.0
140	0.0	0.0	2.0	68.0	10.0	6.0	8.0
141	1.0	1.0	1.0	10.0	16.0	1.0	1.0
142	1.0	1.0	1.0	24.0	3.0	4.0	15.0
